Timestamp,در کدام محدوده سنی هستید؟,جنسیت,خودتون رو متعلق به کدوم استان می دونین؟ بچه کجایین؟ (:,استان محل کار,چند سال تجربه کار تمام وقت دارید؟,آخرین وضعیت تحصیلی,چه مدارک بین المللی ای اخذ کرده اید,چند ساعت در هفته برای یادگیری تکنولوژی‌ها، زبان ها و ... جدید وقت می گذارید؟,چند ساعت در هفته برای پروژه‌های غیرکاری ولی مرتبط با حوزه کاری خود (برنامه نویسی، وبلاگنویسی، گزارش باگ، ...) وقت می گذارید؟,در سه ماه گذشته چند کتاب خوانده اید؟,زبان‌های برنامه‌نویسی مورد استفاده شما در پروژه‌ها کدامند؟,به جز زبان‌های فعلی‌تان، دوست دارید با چه زبان برنامه ای نویسی کار کنید؟,دیتابیس‌های مورد استفاده,سیستم عامل رومیزی شما کدام است؟,سیستم عامل سرور مورد علاقه شما,و وقتی صحبت از تلفن همراه باشد...,در چه محیطی برنامه نویسی می‌کنید,تم آی دی ای,از چه سورس کنترلی استفاده می کنید؟,تب یا اسپیس؟,نوشیدنی‌های اصلی شما چیست؟,کدام‌ها در مورد شما صدق می‌کند,به طور معمول چند دیوایس دیجیتال با خودتان حمل می کنید (شامل لپ تاپ، پخش کننده موزیک، موبایل،‌ کتابخوان، ...),حوزه کاری شما چیست,نوع شرکت شما کدام است؟,تعداد مجموع کارمندان شرکت (در صورتی که انفرادی کار می کنید: 1),متوسط درآمد ماهیانه شما (به تومان),محل کار چه خدماتی بیشتر از حقوق ارائه می دهد,چگونه کار می کنید؟,شیوه کار شما کدام است؟,در صورتی که ساعتی کار می کنید، حقوق ساعتی شما چقدر است؟ (تومان),چقدر از کاری که انتخاب کرده اید راضی هستید؟,آیا نکته ای هست که بخواهید اضافه کنید؟ بنویسید...,تیپ ,تغییر در بدن؟,سبک موسیقی,وضعیت رابطه,از کدام تکنولوزی ها استفاده می کنید,سبک لباس
2/24/2016 1:45:17,۲۳ تا ۲۹,مرد,آذربایجان شرقی,آذربایجان شرقی,سه تا هفت سال,در حال تحصیل در فوق لیسانس,,دو تا هفت ساعت,کمتر از دو ساعت,هیچ,"PHP, Javascript, SQL",Javascript,MS-SQL,"Windows 8, Windows 10",Linux CentOS,iOS,"سابلایم, محصولات جت برین",تیره,گیت,تب,"چای, قهوه","بیشتر از سه بار در هفته ورزش می کنم, در رابطه نیستم ولی دوست داشتم بودم",2,"توسعه دهنده بک اند, توسعه دهنده فرانت اند, طراح",شرکت های ارائه دهنده سرویس های مختلف,7,سه و نیم تا پنج میلیون,,پروژه ای مستقل,دورکاری کامل,بین پنجاه تا صد,4,,,,,,,
2/24/2016 2:42:35,۳۰ تا ۳۹,مرد,تهران,تهران,سه تا هفت سال,لیسانس,,بیشتر از چهارده ساعت,بیشتر از چهارده ساعت,هیچ,"Java, PHP, SQL",Swift,"MySQL/MariaDB, sqlite","Windows 8, OS X",Linux CentOS,Android,سابلایم,تیره,گیت,اسپیس,"چای, انواع ماء الشعیر, آب","حیوان خانگی دارم, سیاست برایم مهم است",2,"توسعه دهنده بک اند, توسعه دهنده موبایل, مدیر شرکت / پروژه / ...",شرکت های تولید نرم افزار,5,دو تا سه و نیم میلیون,"قهوه،‌ چای و ... رایگان, بیمه",پروژه ای با شرکت‌ها,اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم,بین پنجاه تا صد,4,,,,,,,
2/24/2016 3:31:56,۳۰ تا ۳۹,مرد,خراسان رضوی,خراسان رضوی,هفت تا پانزده سال,لیسانس,,هفت تا چهارده ساعت,دو تا هفت ساعت,یک,"Java, PHP, Javascript, Delphi / Pascal, SQL","Python, Scala","MS-SQL, MySQL/MariaDB",Windows 10,Linux CentOS,Android,"سابلایم, محصولات جت برین",تیره,"گیت, اس وی ان",تب,"چای, آب","بیشتر از سه بار در هفته ورزش می کنم, سیاست برایم مهم است, حداقل یک روز در میان دوش می گیرم",2,"توسعه دهنده فول استک وب, توسعه دهنده بک اند, توسعه دهنده موبایل, توسعه دهنده دسکتاپ, مدیر دیتابیس, تحلیلگر, مدیر شرکت / پروژه / ...",شرکت های ارائه دهنده سرویس های مختلف,200,یک تا دو میلیون,,پروژه ای با شرکت‌ها,اکثر مواقع دورکاری و گاهی به دفتر می روم,بین ده تا بیست و پنج,4,,,,,,,
2/24/2016 4:55:32,۲۳ تا ۲۹,مرد,هرمزگان,هرمزگان,یک تا سه سال,لیسانس,,دو تا هفت ساعت,کمتر از دو ساعت,هیچ,"Java, PHP, Javascript, SQL, Bash","Python, Go","MySQL/MariaDB, sqlite",Linux Ubuntu,Linux Ubuntu,Android,محصولات جت برین,تیره,استفاده نمی کنم,تب,"نوشابه, آب","بیشتر از یک نخ در روز سیگار می کشم, در رابطه نیستم ولی دوست داشتم بودم, حداقل یک روز در میان دوش می گیرم",2,"توسعه دهنده بک اند, توسعه دهنده موبایل, توسعه دهنده فرانت اند, مدیر سیستم, مدیر دیتابیس",شرکت های ارائه دهنده سرویس های مختلف,9,یک تا دو میلیون,تلفن همراه,تمام وقت خصوصی,اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم,,5,,,,,,,
2/24/2016 6:58:03,۳۰ تا ۳۹,مرد,تهران,تهران,پانزده تا بیست و پنج,فوق لیسانس,هیچکدام!,هفت تا چهارده ساعت,هفت تا چهارده ساعت,سه تا شش,"Visual Basic, SQL",C#,MS-SQL,Windows 7,"Windows Server 2003, Windows Server 2008",Android,ویژوال استودیو,روشن,استفاده نمی کنم,تفاوتی ندارد,"چای, دمنوش‌های متنوع","بیشتر از یک نخ در روز سیگار می کشم, بیشتر از سه بار در هفته ورزش می کنم",1,"توسعه دهنده فول استک وب, مدیر سیستم, تحلیلگر, مدیر شرکت / پروژه / ...",استارتاپ,8,سه و نیم تا پنج میلیون,"قهوه،‌ چای و ... رایگان, خوراکی و اسنک‌های رایگان داخل شرکت, کارت هدیه و کارت خرید, پاداش بر اساس نتایج, آموزش خارج از شرکت, برگزاری مراسم و تولدها در داخل شرکت, بیمه, بیمه تکمیلی",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,ساعتی کار نمی کنم,5,,,,,,,
2/24/2016 7:13:59,۲۳ تا ۲۹,مرد,تهران,تهران,یک تا سه سال,لیسانس,,هفت تا چهارده ساعت,دو تا هفت ساعت,هیچ,"Java, PHP","Python, Go","MySQL/MariaDB, Postgresql, sqlite, MongoDB","Windows 7, Windows 10",Linux CentOS,Android,محصولات جت برین,تیره,گیت,اسپیس,چای,,4,توسعه دهنده موبایل,شرکت های تولید نرم افزار,5,یک تا دو میلیون,"قهوه،‌ چای و ... رایگان, پاداش بر اساس نتایج",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,زیر ده هزار,4,,,,,,,
2/24/2016 7:26:35,۲۳ تا ۲۹,مرد,فارس,فارس,یک تا سه سال,لیسانس,,بیشتر از چهارده ساعت,کمتر از دو ساعت,یک,"Java, PHP, SQL, Bash",Python,MySQL/MariaDB,"Windows 8, Windows 10","Linux RedHat, Linux CentOS, Linux Ubuntu",Android,محصولات جت برین,تیره,گیت,تب,"چای, قهوه, دمنوش‌های متنوع, انرژی زا, نوشابه, انواع ماء الشعیر, آب","حیوان خانگی دارم, حداقل یک روز در میان دوش می گیرم",1,"توسعه دهنده بک اند, تحلیلگر",استارتاپ,7,یک تا دو میلیون,قهوه،‌ چای و ... رایگان,تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,بین ده تا بیست و پنج,4,,,,,,,
2/24/2016 8:49:44,۲۳ تا ۲۹,مرد,گیلان,تهران,یک تا سه سال,دیپلم,,دو تا هفت ساعت,دو تا هفت ساعت,یک,"Java, PHP, Javascript, SQL, Bash","C, Python, Assembly, Go","MySQL/MariaDB, sqlite, Hadoop Based technoloties","Windows 8, Linux Ubuntu",Linux CentOS,Android,"ادیتورهای متن ساده (نوت پد پلاس پلاس، جی ادیت), براکت",تیره,استفاده نمی کنم,تفاوتی ندارد,"قهوه, دوغ","در رابطه نیستم ولی دوست داشتم بودم, حداقل یک روز در میان دوش می گیرم",1,"توسعه دهنده فول استک وب, توسعه دهنده موبایل, توسعه دهنده دسکتاپ, مدیر سیستم, تحلیلگر, مدیر شرکت / پروژه / ..., مستند سازی, اجباراً همه کار میکنم",بخش آی تی شرکت های غیر نرم افزاری (مانند مخابراتی‌ها، بانک ها، ...),1,دو تا سه و نیم میلیون,هیچی,تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,,4,,,,,,,
2/24/2016 9:08:04,۲۳ تا ۲۹,مرد,آذربایجان شرقی,آذربایجان شرقی,سه تا هفت سال,لیسانس,,کمتر از دو ساعت,هفت تا چهارده ساعت,دو یا سه,"PHP, Javascript",Python,MS-SQL,Linux Ubuntu,Linux CentOS,iOS,سابلایم,تیره,گیت,تب,چای,سیاست برایم مهم است,2,"توسعه دهنده بک اند, توسعه دهنده موبایل, توسعه دهنده فرانت اند",شرکت های ارائه دهنده سرویس های مختلف,3,یک تا دو میلیون,,پروژه ای مستقل,شخصی کار می کنم و در محل خودم,ساعتی کار نمی کنم,3,,,,,,,
2/24/2016 9:10:16,۲۳ تا ۲۹,مرد,,تهران,یک تا سه سال,لیسانس,,بیشتر از چهارده ساعت,کمتر از دو ساعت,دو یا سه,"Python, PHP, SQL, Bash","Java, C++, Python, PHP, Javascript, R, Matlab, Go","MySQL/MariaDB, sqlite, Redis",Linux Ubuntu,Linux Debian,Android,"محصولات جت برین, ویم",تیره,گیت,تب,"چای, قهوه, آب","در رابطه نیستم ولی دوست داشتم بودم, حداقل یک روز در میان دوش می گیرم",1,توسعه دهنده بک اند,شرکت های تولید نرم افزار,60,یک تا دو میلیون,"قهوه،‌ چای و ... رایگان, پاداش بر اساس نتایج, لپ تاپ, بیمه",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,,5,,,,,,,
2/24/2016 9:14:53,۲۳ تا ۲۹,مرد,کرمان,تهران,هفت تا پانزده سال,دیپلم,,هفت تا چهارده ساعت,دو تا هفت ساعت,دو یا سه,"Java, C++, PHP, Javascript, SQL, Bash","Python, Perl, Objective C, Go","MySQL/MariaDB, MongoDB, Redis, Other NoSQLs (couch, raven, ...)",Linux Ubuntu,"Linux CentOS, Linux Debian, BSDs",Android,"سابلایم, محصولات جت برین, NetBeans",تیره,گیت,تب,"چای, قهوه","بیشتر از یک نخ در روز سیگار می کشم, سیاست برایم مهم است, در رابطه نیستم ولی دوست داشتم بودم, حداقل یک روز در میان دوش می گیرم",1,"توسعه دهنده فول استک وب, مدیر شرکت / پروژه / ...",شرکت های ارائه دهنده سرویس های مختلف,4,سه و نیم تا پنج میلیون,"قهوه،‌ چای و ... رایگان, خوراکی و اسنک‌های رایگان داخل شرکت, بیمه",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,ساعتی کار نمی کنم,5,,,,,,,
2/24/2016 9:19:12,۲۳ تا ۲۹,زن,تهران,تهران,یک تا سه سال,لیسانس,,کمتر از دو ساعت,دو تا هفت ساعت,یک,"Java, C++",Swift,sqlite,Windows 7,Windows ( Other ),Android,"محصولات جت برین, محصولات اکلیپس, Android Studio",روشن,گیت,تب,"چای, آب",حداقل یک روز در میان دوش می گیرم,2,توسعه دهنده موبایل,استارتاپ,60,یک تا دو میلیون,"قهوه،‌ چای و ... رایگان, بیمه",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,بین ده تا بیست و پنج,5,,,,,,,
2/24/2016 9:19:51,۱۸ تا ۲۲,مرد,اصفهان,اصفهان,یک تا سه سال,لیسانس,"Linux (LPIC, ...), Programming Languages (Java, MCP, ..)",کمتر از دو ساعت,کمتر از دو ساعت,یک,"Java, SQL",Swift,MS-SQL,Windows 10,Windows Server 2016,iOS,Sql Server Managment Studio 2014,تیره,گیت,تب,قهوه,"سیاست برایم مهم است, حداقل یک روز در میان دوش می گیرم",,مدیر دیتابیس,شرکت های ارائه دهنده سرویس های مختلف,50,یک تا دو میلیون,"قهوه،‌ چای و ... رایگان, بیمه, بیمه تکمیلی",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,زیر ده هزار,4,,,,,,,
2/24/2016 9:20:49,۱۸ تا ۲۲,مرد,تهران,تهران,زیر یکسال,در حال تحصیل در دوره لیسانس,"Programming Languages (Java, MCP, ..)",کمتر از دو ساعت,دو تا هفت ساعت,یک,"PHP, Javascript, R, SQL","Python, Ruby","MySQL/MariaDB, sqlite",Windows 7,Linux CentOS,Android,محصولات اکلیپس,روشن,استفاده نمی کنم,تب,"چای, قهوه, نوشابه","سیاست برایم مهم است, حداقل یک روز در میان دوش می گیرم",3,"توسعه دهنده بک اند, مدیر شرکت / پروژه / ...",بخش آی تی شرکت های غیر نرم افزاری (مانند مخابراتی‌ها، بانک ها، ...),110,یک تا دو میلیون,"ناهار رایگان, قهوه،‌ چای و ... رایگان, سفر، اردو، برنامه های تفریحی خارج شرکت به خرج شرکت, برگزاری مراسم و تولدها در داخل شرکت",پروژه ای با شرکت‌ها,اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم,ساعتی کار نمی کنم,4,,,,,,,
2/24/2016 9:21:39,۱۸ تا ۲۲,مرد,تهران,تهران,یک تا سه سال,در حال تحصیل در دوره لیسانس,,دو تا هفت ساعت,صفر,دو یا سه,Ruby,"Javascript, Rust","MongoDB, Redis",Linux (other),Linux Ubuntu,Android,سابلایم,از آی دی ای استفاده نمی کنم,گیت,اسپیس,چای,"بیشتر از سه بار در هفته ورزش می کنم, سیاست برایم مهم است, در رابطه نیستم ولی دوست داشتم بودم, حداقل یک روز در میان دوش می گیرم",1,توسعه دهنده بک اند,استارتاپ,15,یک تا دو میلیون,"قهوه،‌ چای و ... رایگان, برگزاری مراسم و تولدها در داخل شرکت",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,بین ده تا بیست و پنج,5,,,,,,,
2/24/2016 9:23:02,۳۰ تا ۳۹,مرد,تهران,تهران,سه تا هفت سال,لیسانس,,کمتر از دو ساعت,دو تا هفت ساعت,هیچ,PHP,Java,MySQL/MariaDB,"Windows 7, Windows 10",Windows Server 2008,Android,ادیتورهای متن ساده (نوت پد پلاس پلاس، جی ادیت),روشن,استفاده نمی کنم,تب,"چای, دمنوش‌های متنوع","حیوان خانگی دارم, سیاست برایم مهم است",1,"مدیر سیستم, شبکه, طراح",بخش آی تی شرکت های غیر نرم افزاری (مانند مخابراتی‌ها، بانک ها، ...),3,یک تا دو میلیون,"عضویت باشگاه های ورزشی یا هزینه ورزش, ناهار رایگان, قهوه،‌ چای و ... رایگان, کارت هدیه و کارت خرید, بیمه",تمام وقت دولتی با استخدام غیردائم,اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم,زیر ده هزار,4,,,,,,,
2/24/2016 9:25:57,۴۰ تا ۴۹,مرد,فارس,اصفهان,پانزده تا بیست و پنج,لیسانس,,هفت تا چهارده ساعت,دو تا هفت ساعت,هیچ,"Java, C#, Visual Basic, SQL","PHP, Swift, Go","MS-SQL, MySQL/MariaDB, sqlite",Windows 10,Windows ( Other ),Android,"ویژوال استودیو, ادیتورهای متن ساده (نوت پد پلاس پلاس، جی ادیت), محصولات جت برین",تیره,گیت,اسپیس,"چای, قهوه, دمنوش‌های متنوع, انواع ماء الشعیر, آب","سیاست برایم مهم است, حداقل یک روز در میان دوش می گیرم",,"توسعه دهنده موبایل, توسعه دهنده دسکتاپ, طراح",استارتاپ,1,یک تا دو میلیون,,تمام وقت خصوصی,شخصی کار می کنم و در محل خودم,بین ده تا بیست و پنج,5,,,,,,,
2/24/2016 9:26:32,۳۰ تا ۳۹,مرد,تهران,تهران,سه تا هفت سال,فوق لیسانس,,هفت تا چهارده ساعت,دو تا هفت ساعت,سه تا شش,Javascript,Python,"Other NoSQLs (couch, raven, ...)",Linux Ubuntu,Linux CentOS,Windows Phone,محصولات جت برین,گاهی روشن گاهی تیره,گیت,تب,آب,"سیاست برایم مهم است, حداقل یک روز در میان دوش می گیرم",1,توسعه دهنده فول استک وب,شرکت های تولید نرم افزار,20,دو تا سه و نیم میلیون,"قهوه،‌ چای و ... رایگان, هیچی",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,,5,متوسط حقوق برنامه نویسان و توسعه دهندگان در اغلب کشورهای دنیا از متوسط حقوق بیشتر است و بنظرم تو ایران اصلا اینطور نیست. برای مثال حقوق من که ۶ سال سابقه دارم با کسی که امسال اولین سال کاریش هست و تو اداره دولتی استخدام شده تقریبا برابره که تازه مزایای شغلی اون شخص رو هم ندارم.  به نظرم «برنامه نویس ها» و فقط  برنامه نویس ها باید به یک نحوی اعتراض خودشون رو به این قضیه نشون بدن. دقیقا مثل فیلمنامه نویسان هالیوود که اعتصاب کردند.,,,,,,
2/24/2016 9:26:43,۲۳ تا ۲۹,مرد,تهران,تهران,سه تا هفت سال,لیسانس,"Linux (LPIC, ...)",دو تا هفت ساعت,کمتر از دو ساعت,هیچ,Ruby,"C++, Python","MySQL/MariaDB, sqlite",Linux Ubuntu,Linux CentOS,Android,"سابلایم, ویم",تیره,گیت,اسپیس,"چای, قهوه, آب",سیاست برایم مهم است,1,"مدیر سیستم, شبکه",شرکت های تولید نرم افزار,30,یک تا دو میلیون,"قهوه،‌ چای و ... رایگان, بیمه",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,ساعتی کار نمی کنم,1,ای کاش دانشگاه رو زودتر رها می کردم یا اصلن نمی رفتم و به جاش راهم رو که الان پیدا کردم همون موقع شروع می کردم...,,,,,,
2/24/2016 9:27:15,۱۸ تا ۲۲,مرد,اصفهان,اصفهان,زیر یکسال,کاردانی,,دو تا هفت ساعت,صفر,هیچ,Python,"Python, PHP, Javascript",MySQL/MariaDB,Linux Ubuntu,"Linux CentOS, Linux Ubuntu",Android,اتم,تیره,گیت,اسپیس,چای,"سیاست برایم مهم است, در رابطه نیستم ولی دوست داشتم بودم, حداقل یک روز در میان دوش می گیرم",1,توسعه دهنده فول استک وب,استارتاپ,1,زیر یک میلیون,,پروژه ای مستقل,شخصی کار می کنم و در محل خودم,ساعتی کار نمی کنم,3,,,,,,,
2/24/2016 9:28:20,۳۰ تا ۳۹,مرد,کردستان,آذربایجان شرقی,هفت تا پانزده سال,فوق لیسانس,,هفت تا چهارده ساعت,هفت تا چهارده ساعت,بیشتر از شش,"C, C++, C#, PHP, Javascript, Ruby, Matlab, SQL","Java, Python, Perl, Go","MS-SQL, MySQL/MariaDB, Oracle, sqlite, MongoDB","Windows 10, Linux Ubuntu","Windows Server 2012, Linux CentOS",Android,"ویژوال استودیو, سابلایم, براکت",روشن,"گیت, اس وی ان",تب,"چای, قهوه","بیشتر از یک نخ در روز سیگار می کشم, سیاست برایم مهم است",4,"توسعه دهنده فول استک وب, توسعه دهنده بک اند, توسعه دهنده دسکتاپ",شرکت های تولید نرم افزار,3,بالای ده,,پروژه ای مستقل,دورکاری کامل,بین صد تا دویست,5,,,,,,,
2/24/2016 9:29:19,۳۰ تا ۳۹,مرد,اصفهان,تهران,یک تا سه سال,فوق لیسانس,,دو تا هفت ساعت,هفت تا چهارده ساعت,یک,"C#, Python, Javascript, SQL",C++,"MS-SQL, MySQL/MariaDB",Linux Debian,Linux Debian,Android,"ویژوال استودیو, اتم, محصولات جت برین",تیره,گیت,تفاوتی ندارد,چای,"سیاست برایم مهم است, حداقل یک روز در میان دوش می گیرم",1,"توسعه دهنده بک اند, توسعه دهنده فرانت اند, دانشمند داده",شرکت های تولید نرم افزار,100,دو تا سه و نیم میلیون,"برگزاری مراسم و تولدها در داخل شرکت, بیمه, بیمه تکمیلی",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,ساعتی کار نمی کنم,4,,,,,,,
2/24/2016 9:29:42,۲۳ تا ۲۹,مرد,خراسان جنوبی,خراسان جنوبی,یک تا سه سال,لیسانس,,کمتر از دو ساعت,صفر,یک,"Java, Python, PHP, Javascript, SQL, Bash","Objective C, Swift","MS-SQL, Postgresql, sqlite, MongoDB, Redis",Linux Debian,Linux Ubuntu,Android,"ادیتورهای متن ساده (نوت پد پلاس پلاس، جی ادیت), محصولات جت برین",روشن,گیت,تب,"چای, قهوه, آب",,1,"توسعه دهنده بک اند, توسعه دهنده موبایل",شرکت های تولید نرم افزار,3,زیر یک میلیون,,تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,بین ده تا بیست و پنج,4,من و دوستام با هم شرکت زدیم و درنتیجه امکانات اضافی شرکت بر عهده خودمون هست و بین خودمون تقسیم میشه. درنتیجه امکانات رایگان نداریم,,,,,,
2/24/2016 9:29:45,۳۰ تا ۳۹,مرد,تهران,تهران,هفت تا پانزده سال,لیسانس,,کمتر از دو ساعت,صفر,سه تا شش,"C#, SQL",Swift,"MS-SQL, sqlite",Windows (other),Windows Server 2016,iOS,ویژوال استودیو,تیره,تی اف اس,تب,"قهوه, انرژی زا","سیاست برایم مهم است, حداقل یک روز در میان دوش می گیرم",1,"توسعه دهنده فول استک وب, توسعه دهنده بک اند, مدیر سیستم, شبکه, تحلیلگر, مدیر شرکت / پروژه / ...",شرکت های تولید نرم افزار,4,سه و نیم تا پنج میلیون,"قهوه،‌ چای و ... رایگان, خوراکی و اسنک‌های رایگان داخل شرکت, آموزش خارج از شرکت, بیمه",تمام وقت خصوصی,اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم,بین ده تا بیست و پنج,5,,,,,,,
2/24/2016 9:32:40,۲۳ تا ۲۹,مرد,تهران,تهران,سه تا هفت سال,لیسانس,,دو تا هفت ساعت,کمتر از دو ساعت,یک,"PHP, Javascript, SQL","Perl, Swift",MySQL/MariaDB,Windows 10,Linux CentOS,Android,"ادیتورهای متن ساده (نوت پد پلاس پلاس، جی ادیت), محصولات اکلیپس",روشن,گیت,تب,"چای, قهوه, دمنوش‌های متنوع","در رابطه نیستم ولی دوست داشتم بودم, حداقل یک روز در میان دوش می گیرم",1,"توسعه دهنده فول استک وب, توسعه دهنده بک اند, توسعه دهنده فرانت اند",شرکت های ارائه دهنده سرویس های مختلف,120,پنج تا هفت میلیون,"قهوه،‌ چای و ... رایگان, خوراکی و اسنک‌های رایگان داخل شرکت, برگزاری مراسم و تولدها در داخل شرکت, بیمه, بیمه تکمیلی",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,,4,,,,,,,
2/24/2016 9:34:20,۱۸ تا ۲۲,مرد,تهران,تهران,سه تا هفت سال,فوق لیسانس,"Network (CCNA, MCSE, MCITP, ...)",بیشتر از چهارده ساعت,هفت تا چهارده ساعت,دو یا سه,"Java, Python, PHP, Javascript","R, Go","MySQL/MariaDB, sqlite, MongoDB",Linux Ubuntu,Linux Ubuntu,"Dump phones (1100, ...)","اتم, محصولات اکلیپس",تیره,گیت,تب,"چای, نوشابه, انواع ماء الشعیر, آب","در رابطه نیستم ولی دوست داشتم بودم, حداقل یک روز در میان دوش می گیرم",1,"توسعه دهنده موبایل, مدیر سیستم, تحلیلگر, مدیر شرکت / پروژه / ...",بخش آی تی شرکت های غیر نرم افزاری (مانند مخابراتی‌ها، بانک ها، ...),77,دو تا سه و نیم میلیون,"قهوه،‌ چای و ... رایگان, برگزاری مراسم و تولدها در داخل شرکت, بیمه, بیمه تکمیلی",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,,5,,,,,,,
2/24/2016 9:34:26,۲۳ تا ۲۹,مرد,قم,تهران,سه تا هفت سال,دیپلم,"Linux (LPIC, ...)",هفت تا چهارده ساعت,کمتر از دو ساعت,دو یا سه,"Python, Bash","C, Go","MySQL/MariaDB, Redis, Other NoSQLs (couch, raven, ...)","OS X, Linux Arch",Linux Debian,iOS,ویم,تیره,گیت,تب,چای,حداقل یک روز در میان دوش می گیرم,2,"مدیر سیستم, مدیر دیتابیس",شرکت های تولید نرم افزار,20,دو تا سه و نیم میلیون,"قهوه،‌ چای و ... رایگان, برگزاری مراسم و تولدها در داخل شرکت, لپ تاپ, بیمه",تمام وقت خصوصی,اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم,بین بیست و پنج تا پنجاه,5,,,,,,,
2/24/2016 9:35:46,۳۰ تا ۳۹,مرد,اصفهان,اصفهان,هفت تا پانزده سال,لیسانس,"Network (CCNA, MCSE, MCITP, ...), Security (CEH, MTA, ...), Programming Languages (Java, MCP, ..), php - android",کمتر از دو ساعت,کمتر از دو ساعت,دو یا سه,"C#, PHP, Javascript","Java, C++, Python, Swift, Go","MS-SQL, MySQL/MariaDB",Windows 8,Linux Ubuntu,Android,"ویژوال استودیو, محصولات جت برین",تیره,گیت,تب,قهوه,"بیشتر از سه بار در هفته ورزش می کنم, در رابطه نیستم ولی دوست داشتم بودم, حداقل یک روز در میان دوش می گیرم",2,"توسعه دهنده فول استک وب, توسعه دهنده بک اند",شرکت های تولید نرم افزار,15,دو تا سه و نیم میلیون,قهوه،‌ چای و ... رایگان,تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,,3,همه چی آرومه,,,,,,
2/24/2016 9:36:12,۳۰ تا ۳۹,مرد,آذربایجان شرقی,تهران,هفت تا پانزده سال,لیسانس,,دو تا هفت ساعت,دو تا هفت ساعت,هیچ,"Java, C#, SQL","C++, Python, Swift","MS-SQL, sqlite",Windows 8,Windows Server 2012,Android,محصولات جت برین,روشن,"گیت, تی اف اس",اسپیس,"چای, دمنوش‌های متنوع","سیاست برایم مهم است, حداقل یک روز در میان دوش می گیرم",2,"توسعه دهنده موبایل, طراح",شرکت های تولید نرم افزار,30,سه و نیم تا پنج میلیون,"ناهار رایگان, قهوه،‌ چای و ... رایگان, خوراکی و اسنک‌های رایگان داخل شرکت, برگزاری مراسم و تولدها در داخل شرکت, بیمه, بیمه تکمیلی",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,ساعتی کار نمی کنم,4,,,,,,,
2/24/2016 9:36:21,۲۳ تا ۲۹,مرد,تهران,تهران,سه تا هفت سال,فوق لیسانس,,هفت تا چهارده ساعت,کمتر از دو ساعت,هیچ,"C#, SQL",Python,MS-SQL,Windows 8,Windows Server 2012,Android,ویژوال استودیو,روشن,استفاده نمی کنم,اسپیس,"چای, قهوه",سیاست برایم مهم است,,"توسعه دهنده فول استک وب, طراح, تحلیلگر",استارتاپ,1,دو تا سه و نیم میلیون,,تمام وقت خصوصی,اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم,بین ده تا بیست و پنج,4,,,,,,,
2/24/2016 9:37:26,۳۰ تا ۳۹,مرد,تهران,تهران,هفت تا پانزده سال,فوق لیسانس,"Network (CCNA, MCSE, MCITP, ...), Linux (LPIC, ...), Management (PMP, SCRUM, ITIL, ...), Programming Languages (Java, MCP, ..)",دو تا هفت ساعت,دو تا هفت ساعت,دو یا سه,"C, Python, Perl, Matlab",Java,"Hadoop Based technoloties, MongoDB",Linux (other),Linux RedHat,Android,سابلایم,تیره,گیت,تب,"قهوه, انواع ماء الشعیر, نوشیدنی‌های الکلی","بیشتر از سه بار در هفته ورزش می کنم, حداقل یک روز در میان دوش می گیرم",2,Test Automation Developer,شرکت های ارائه دهنده سرویس های مختلف,200,بالای ده,"قهوه،‌ چای و ... رایگان, لپ تاپ, تلفن همراه, بیمه تکمیلی",شرکت های خارجی,اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم,بین صد تا دویست,5,,,,,,,
