Timestamp,در کدام محدوده سنی هستید؟,جنسیت,خودتون رو متعلق به کدوم استان می دونین؟ بچه کجایین؟ (:,استان محل کار,چند سال تجربه کار تمام وقت دارید؟,آخرین وضعیت تحصیلی,چه مدارک بین المللی ای اخذ کرده اید,چند ساعت در هفته برای یادگیری تکنولوژی‌ها، زبان ها و ... جدید وقت می گذارید؟,چند ساعت در هفته برای پروژه‌های غیرکاری ولی مرتبط با حوزه کاری خود (برنامه نویسی، وبلاگنویسی، گزارش باگ، ...) وقت می گذارید؟,در سه ماه گذشته چند کتاب خوانده اید؟,زبان‌های برنامه‌نویسی مورد استفاده شما در پروژه‌ها کدامند؟,به جز زبان‌های فعلی‌تان، دوست دارید با چه زبان برنامه ای نویسی کار کنید؟,دیتابیس‌های مورد استفاده,سیستم عامل رومیزی شما کدام است؟,سیستم عامل سرور مورد علاقه شما,و وقتی صحبت از تلفن همراه باشد...,در چه محیطی برنامه نویسی می‌کنید,تم آی دی ای,از چه سورس کنترلی استفاده می کنید؟,از کدام تکنولوزی ها استفاده می کنید,تب یا اسپیس؟,نوشیدنی‌های اصلی شما چیست؟,تیپ ,تغییر در بدن؟,کدام‌ها در مورد شما صدق می‌کند,سبک موسیقی,وضعیت رابطه,به طور معمول چند دیوایس دیجیتال با خودتان حمل می کنید (شامل لپ تاپ، پخش کننده موزیک، موبایل،‌ کتابخوان، ...),حوزه کاری شما چیست,نوع شرکت شما کدام است؟,تعداد مجموع کارمندان شرکت (در صورتی که انفرادی کار می کنید: 1),متوسط درآمد ماهیانه شما (به تومان),محل کار چه خدماتی بیشتر از حقوق ارائه می دهد,چگونه کار می کنید؟,شیوه کار شما کدام است؟,در صورتی که ساعتی کار می کنید، حقوق ساعتی شما چقدر است؟ (تومان),چقدر از کاری که انتخاب کرده اید راضی هستید؟,آیا نکته ای هست که بخواهید اضافه کنید؟ بنویسید...
3/6/2017 22:28:54,۱۸ تا ۲۲,مرد,آذربایجان شرقی,آذربایجان شرقی,سه تا هفت سال,در حال تحصیل در دوره لیسانس,,دو تا هفت ساعت,کمتر از دو ساعت,سه تا شش,"Java, PHP, Javascript, SQL",Scala,"No Database, MS-SQL, Postgresql, MongoDB, Redis","Windows 8, OS X",Linux CentOS,Android,"اتم, ادیتورهای متن ساده (نوت پد پلاس پلاس، جی ادیت)",تیره,گیت,"سورس کنترل, بیگ دیتا, کلاود",تب,"چای, قهوه, دمنوش‌های متنوع, آب","تی شرت, جین, پیرهن مردونه",,"بیشتر از یک نخ در روز سیگار می کشم, سیاست برایم مهم است, حداقل یک روز در میان دوش می گیرم","کلاسیک, سنتی, پاپ ایرانی, easy listening",با پارتنر دائم,4,"توسعه دهنده فول استک وب, مدیر دیتابیس, سیستم های درونساز, تحلیلگر, مدیر شرکت / پروژه / ...","شرکت های تولید نرم افزار, شرکت های پشتیبانی و دیگر خدمات نرم افزار, شرکت های ارائه دهنده سرویس های مختلف, استارتاپ, تولید مستقل محصول و فروش در سایت ها و پلتفرمها",3,سه و نیم تا پنج میلیون,"قهوه،‌ چای و ... رایگان, تلفن همراه",تمام وقت خصوصی,اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم,,5,
3/6/2017 22:29:39,۴۰ تا ۴۹,مرد,تهران,تهران,پانزده تا بیست و پنج,در حال تحصیل در دوره دکترا,Big Data,هفت تا چهارده ساعت,کمتر از دو ساعت,یک,"C#, Delphi / Pascal, SQL","Python, R, Scala","MS-SQL, Hadoop Based technoloties",Windows 10,"Windows Server 2012, Linux Ubuntu",iOS,ویژوال استودیو,گاهی روشن گاهی تیره,تی اف اس,"بیگ دیتا, هوش مصنوعی",تب,"قهوه, دمنوش‌های متنوع","کت و شلوار, رسمی, اسپورت",تتو,حداقل یک روز در میان دوش می گیرم,"کلاسیک, پاپ ایرانی, پاپ خارجی, متال, راک, کانتری",ازدواج کرده ام,2,"توسعه دهنده فول استک وب, توسعه دهنده بک اند, مدیر سیستم, مدیر شرکت / پروژه / ...",شرکت های تولید نرم افزار,6,بالای سیزده,"قهوه،‌ چای و ... رایگان, خوراکی و اسنک‌های رایگان داخل شرکت, کارت هدیه و کارت خرید, پاداش بر اساس نتایج, آموزش خارج از شرکت",تمام وقت خصوصی,اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم,بالای دویست,5,
3/6/2017 22:31:39,۳۰ تا ۳۹,مرد,تهران,تهران,هفت تا پانزده سال,در حال تحصیل در فوق لیسانس,,دو تا هفت ساعت,دو تا هفت ساعت,یک,"C#, Javascript, SQL",C++,"MS-SQL, Redis","Windows 7, Windows 10",Windows ( Other ),"Android, iOS","ویژوال استودیو, اتم",تیره,گیت,"سورس کنترل, بیلد سیستم ها, تست های خودکار",اسپیس,"چای, قهوه, آب","تی شرت, جین, روشن",,حداقل یک روز در میان دوش می گیرم,"سنتی, راک, بلوز",ازدواج کرده ام,2,"توسعه دهنده فول استک وب, توسعه دهنده بک اند, طراح, تحلیلگر",شرکت های تولید نرم افزار,5,سه و نیم تا پنج میلیون,"قهوه،‌ چای و ... رایگان, برگزاری مراسم و تولدها در داخل شرکت, بیمه",تمام وقت خصوصی,اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم,,4,وضع کلی کار در کشور و امنیت شغلی نگران کننده هست
3/6/2017 22:32:27,۱۸ تا ۲۲,مرد,خراسان رضوی,تهران,زیر یکسال,در حال تحصیل در دوره لیسانس,,هفت تا چهارده ساعت,دو تا هفت ساعت,بیشتر از شش,"Java, Python, SQL, Bash",Javascript,"Postgresql, sqlite",Linux Ubuntu,Linux Debian,Android,اتم,گاهی روشن گاهی تیره,گیت,"سورس کنترل, بیلد سیستم ها, تست های خودکار",تب,قهوه,"تی شرت, جین, پیرهن مردونه, تیره",,سیاست برایم مهم است,"پاپ ایرانی, پاپ خارجی, راک, رپ, easy listening",با پارتنر دائم,1,توسعه دهنده موبایل,استارتاپ,1,دو تا سه و نیم میلیون,"قهوه،‌ چای و ... رایگان, خوراکی و اسنک‌های رایگان داخل شرکت, لپ تاپ, بیمه",پروژه ای مستقل,اکثر مواقع دورکاری و گاهی به دفتر می روم,,5,
3/6/2017 22:32:58,۱۸ تا ۲۲,مرد,تهران,تهران,زیر یکسال,در حال تحصیل در دوره لیسانس,,دو تا هفت ساعت,صفر,سه تا شش,"Java, Python, SQL","Javascript, Scala","MySQL/MariaDB, MongoDB",Linux Ubuntu,Linux Ubuntu,Android,"سابلایم, محصولات جت برین",تیره,گیت,"سورس کنترل, کانتینرها, هوش مصنوعی",تب,"چای, آب","جین, پیرهن مردونه",,"سیاست برایم مهم است, در رابطه نیستم ولی دوست داشتم بودم, حداقل یک روز در میان دوش می گیرم","کلاسیک, سنتی, پاپ خارجی",بدون رابطه ولی علاقمند به شروع رابطه,2,"مدیر سیستم, دانشمند داده, تست کننده",استارتاپ,3,زیر یک میلیون,,پروژه ای مستقل,اکثر مواقع دورکاری و گاهی به دفتر می روم,ساعتی کار نمی کنم,1,
3/6/2017 22:34:00,۲۳ تا ۲۹,مرد,تهران,تهران,سه تا هفت سال,لیسانس,,هفت تا چهارده ساعت,هفت تا چهارده ساعت,یک,"PHP, Javascript","Go, Bash",MySQL/MariaDB,"Windows 10, OS X",Linux Ubuntu,iOS,"سابلایم, محصولات جت برین",تیره,گیت,کانتینرها,تب,"قهوه, آب","تی شرت, رنگی رنگی, گجت پوشیدنی دارم (ساعت هوشمند، ...), ساعت می بندم, اسپورت, متفاوت از اکثریت",,"سیاست برایم مهم است, در رابطه نیستم ولی دوست داشتم بودم, حداقل یک روز در میان دوش می گیرم","کلاسیک, سنتی, پاپ ایرانی",بدون رابطه ولی علاقمند به شروع رابطه,4,"توسعه دهنده فرانت اند, طراح, مستند سازی",استارتاپ,50,سه و نیم تا پنج میلیون,"قهوه،‌ چای و ... رایگان, کارت هدیه و کارت خرید, پاداش بر اساس نتایج, آموزش خارج از شرکت, برگزاری مراسم و تولدها در داخل شرکت, بیمه, بیمه تکمیلی",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,بین بیست و پنج تا پنجاه,4,
3/6/2017 22:34:52,۲۳ تا ۲۹,مرد,البرز,البرز,یک تا سه سال,لیسانس,,دو تا هفت ساعت,هفت تا چهارده ساعت,دو یا سه,"PHP, Javascript",Swift,MS-SQL,OS X,Linux Ubuntu,"Android, iOS","اتم, ایکس کد",تیره,گیت,سورس کنترل,تب,"چای, انواع ماء الشعیر","تی شرت, جین, گجت پوشیدنی دارم (ساعت هوشمند، ...), اسپورت",,در رابطه نیستم ولی دوست داشتم بودم,"پاپ ایرانی, پاپ خارجی",بدون رابطه ولی علاقمند به شروع رابطه,2,توسعه دهنده فرانت اند,استارتاپ,3,زیر یک میلیون,,پروژه ای مستقل,شخصی کار می کنم و در محل خودم,بین ده تا بیست و پنج,5,چرا یه حقوق مشخص بر اساس توانایی های یک برنامه نویس وجود نداره و همه دنبال کارمند با حقوق وازرت کار و بدون عیدی و بیمه هستند . چرا تو شهر خودم البرز حقوق تهران رو نمی تونم داشته باشم در صورتی که ۴۰ ک متر بیشتر فاصله نیست.
3/6/2017 22:36:56,۲۳ تا ۲۹,مرد,البرز,البرز,یک تا سه سال,لیسانس,,دو تا هفت ساعت,کمتر از دو ساعت,یک,"PHP, Javascript",C++,"MySQL/MariaDB, Oracle",Windows 10,Linux CentOS,"Android, Windows Phone",اتم,تیره,گیت,تست های خودکار,تب,قهوه,پیرهن مردونه,چیزی ندارم,حداقل یک روز در میان دوش می گیرم,کلاسیک,با کامپیوتر/اینترنت/برنامه نویسی/سیستم عامل/... در رابطه ام,1,توسعه دهنده بک اند,,1,یک تا دو میلیون,,پروژه ای با شرکت‌ها,شخصی کار می کنم و در محل خودم,بین پنجاه تا صد,5,
3/6/2017 22:37:02,۳۰ تا ۳۹,مرد,تهران,تهران,پانزده تا بیست و پنج,لیسانس,,کمتر از دو ساعت,کمتر از دو ساعت,هیچ,"Java, C, C++, C#, PHP, Javascript, SQL, Bash","Swift, Go","MySQL/MariaDB, Oracle, sqlite, MongoDB, Redis",OS X,Linux Ubuntu,"Android, iOS","ویژوال استودیو, اتم, محصولات جت برین, ویم",تیره,گیت,"سورس کنترل, بیلد سیستم ها, تست های خودکار, کلاود, هوش مصنوعی",اسپیس,"چای, قهوه","تی شرت, جین, پیرهن مردونه, گجت پوشیدنی دارم (ساعت هوشمند، ...), اسپورت, متفاوت از اکثریت",,حداقل یک روز در میان دوش می گیرم,"متال, راک, بلوز",ازدواج کرده ام,4,"توسعه دهنده بک اند, مدیر سیستم, مدیر شرکت / پروژه / ...",شرکت های تولید نرم افزار,300,بالای سیزده,"عضویت باشگاه های ورزشی یا هزینه ورزش, قهوه،‌ چای و ... رایگان, خوراکی و اسنک‌های رایگان داخل شرکت, کارت هدیه و کارت خرید, آموزش خارج از شرکت, لپ تاپ, بیمه, بیمه تکمیلی",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,ساعتی کار نمی کنم,4,
3/6/2017 22:37:09,۲۳ تا ۲۹,مرد,تهران,تهران,زیر یکسال,دیپلم,,بیشتر از چهارده ساعت,هفت تا چهارده ساعت,دو یا سه,Javascript,"Python, Ruby, Swift, SQL",No Database,Windows 8,"Linux CentOS, Linux Ubuntu",iOS,ایکس کد,تیره,گیت,سورس کنترل,تب,"چای, قهوه","تی شرت, تیره, متفاوت از اکثریت",,"بیشتر از یک نخ در روز سیگار می کشم, سیاست برایم مهم است","کلاسیک, رپ",با کامپیوتر/اینترنت/برنامه نویسی/سیستم عامل/... در رابطه ام,1,توسعه دهنده فرانت اند,,1,زیر یک میلیون,,پروژه ای مستقل,شخصی کار می کنم و در محل خودم,,5,"امیدوارم تحلیل هایی که از نتیجه این نظرسنجی میشه نسبت به سال قبل بهتر باشه
مثلا اینکه من بدونم ۲۰درصد از شرکت کننده ها زیر یک میلیون حقوق میگیرن کمک زیاذی بهم نمیکنه ولی اگر مشخص بشه هرکس بر اساس سابقه کاری و تحصیلی چقدر حقوق میگیره فکرکنم به خیلی ها کمک بشه
یچیزی مثل آمار ایران تلنت با این تفاوت که به آمار ارائه شده اطمینان کامل داریم
مرسی جادی "
3/6/2017 22:38:46,۲۳ تا ۲۹,مرد,تهران,تهران,هفت تا پانزده سال,دیپلم,,هفت تا چهارده ساعت,دو تا هفت ساعت,دو یا سه,"Java, PHP, Javascript, SQL","Python, Go","MySQL/MariaDB, MongoDB",Windows 10,Linux Debian,"Android, iOS, Dump phones (1100, ...)","ادیتورهای متن ساده (نوت پد پلاس پلاس، جی ادیت), محصولات جت برین, ویم",تیره,گیت,"سورس کنترل, کانتینرها, بیلد سیستم ها, تست های خودکار, کلاود",تب,"چای, انرژی زا, نوشیدنی‌های الکلی, آب","تی شرت, جین, پیرهن مردونه, رنگی رنگی, تیره, روشن, رسمی, ساعت می بندم, اسپورت",,حداقل یک روز در میان دوش می گیرم,"متال, راک, رپ, بلوز, کانتری, الکترونیک دنس",رابطه های نا پایدار,4,"توسعه دهنده فول استک وب, توسعه دهنده بک اند, توسعه دهنده دسکتاپ, توسعه دهنده فرانت اند, مدیر سیستم, تحلیلگر, مدیر شرکت / پروژه / ...",استارتاپ,4,سه و نیم تا پنج میلیون,,پروژه ای مستقل,شخصی کار می کنم و در محل خودم,ساعتی کار نمی کنم,4,"اولین بار بود شرکت میکردم، برای نگاه به گذشته خودم هم مفید بود
موفق باشی ;)"
3/6/2017 22:39:12,۲۳ تا ۲۹,مرد,مازندران,مازندران,سه تا هفت سال,فوق لیسانس,,دو تا هفت ساعت,دو تا هفت ساعت,دو یا سه,"Python, PHP, Javascript",lua,"MySQL/MariaDB, Postgresql, sqlite, rethinkdb",Windows 10,Linux Ubuntu,Android,visual studio code,تیره,استفاده نمی کنم,کانتینرها,تب,"چای, آب","تی شرت, جین, تیره, ساعت می بندم, اسپورت",,"سیاست برایم مهم است, در رابطه نیستم ولی دوست داشتم بودم, حداقل یک روز در میان دوش می گیرم",پاپ ایرانی,بدون رابطه ولی علاقمند به شروع رابطه,1,"توسعه دهنده بک اند, شبکه, تحلیلگر, مستند سازی",,200,دو تا سه و نیم میلیون,"کارت هدیه و کارت خرید, آموزش خارج از شرکت, بیمه, بیمه تکمیلی",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,,3,
3/6/2017 22:41:14,۳۰ تا ۳۹,مرد,تهران,تهران,هفت تا پانزده سال,فوق لیسانس,"Management (PMP, SCRUM, ITIL, ...)",دو تا هفت ساعت,کمتر از دو ساعت,یک,"C#, Javascript, SQL","Python, Objective C, Swift",MS-SQL,Windows 10,Windows ( Other ),"Android, iOS",ویژوال استودیو,از آی دی ای استفاده نمی کنم,گیت,کلاود,تب,"چای, دمنوش‌های متنوع, آب","تی شرت, جین",,,"کلاسیک, سنتی, پاپ ایرانی",ازدواج کرده ام,,"توسعه دهنده فول استک وب, مدیر شرکت / پروژه / ...","شرکت های تولید نرم افزار, استارتاپ",3,سه و نیم تا پنج میلیون,"پاداش بر اساس نتایج, بیمه",تمام وقت خصوصی,دورکاری کامل,,4,
3/6/2017 22:43:14,۱۸ تا ۲۲,مرد,گیلان,گیلان,یک تا سه سال,در حال تحصیل در دوره لیسانس,,کمتر از دو ساعت,کمتر از دو ساعت,یک,"Java, Python",Javascript,sqlite,Linux Ubuntu,Linux Debian,Android,"سابلایم, android studio",تیره,گیت,"سورس کنترل, بیلد سیستم ها",تب,چای,تی شرت,,"بیشتر از یک نخ در روز سیگار می کشم, سیاست برایم مهم است, در رابطه نیستم ولی دوست داشتم بودم","کلاسیک, پاپ ایرانی, راک, رپ",بدون رابطه ولی علاقمند به شروع رابطه,3,توسعه دهنده موبایل,شرکت های تولید نرم افزار,9,زیر یک میلیون,,نیمه وقت خصوصی,اکثر مواقع دورکاری و گاهی به دفتر می روم,ساعتی کار نمی کنم,5,
3/6/2017 22:49:07,۲۳ تا ۲۹,زن,اصفهان,اصفهان,زیر یکسال,در حال تحصیل در فوق لیسانس,,کمتر از دو ساعت,صفر,هیچ,"PHP, Javascript, SQL","Not Programming, Java, Python, Perl, Assembly, Matlab, Scala",MySQL/MariaDB,Windows 8,Linux CentOS,"Android, iOS",محصولات جت برین,روشن,گیت,سورس کنترل,اسپیس,,"روسری, تیره",,حداقل یک روز در میان دوش می گیرم,پاپ ایرانی,ازدواج کرده ام,1,"توسعه دهنده بک اند, توسعه دهنده فرانت اند",شرکت های تولید نرم افزار,6,زیر یک میلیون,بیمه,پروژه ای با شرکت‌ها,اکثر مواقع دورکاری و گاهی به دفتر می روم,ساعتی کار نمی کنم,5,
3/6/2017 22:52:46,۲۳ تا ۲۹,مرد,اردبیل,تهران,هفت تا پانزده سال,در حال تحصیل در فوق لیسانس,,دو تا هفت ساعت,دو تا هفت ساعت,هیچ,"Java, PHP, Javascript, SQL, Groovy","Python, R, Go","MySQL/MariaDB, Oracle, Postgresql",OS X,Linux CentOS,iOS,"سابلایم, محصولات اکلیپس",گاهی روشن گاهی تیره,"گیت, اس وی ان","سورس کنترل, کانتینرها, بیلد سیستم ها",تب,"چای, قهوه","تی شرت, پیرهن مردونه, اسپورت",,"سیاست برایم مهم است, در رابطه نیستم ولی دوست داشتم بودم","کلاسیک, سنتی, پاپ ایرانی, راک, رپ",بدون رابطه ولی علاقمند به شروع رابطه,2,"توسعه دهنده فول استک وب, توسعه دهنده بک اند, مدیر سیستم, طراح, تحلیلگر, مدیر شرکت / پروژه / ...",شرکت های تولید نرم افزار,7,هفت تا ده میلیون,"قهوه،‌ چای و ... رایگان, کارت هدیه و کارت خرید, برگزاری مراسم و تولدها در داخل شرکت",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,ساعتی کار نمی کنم,5,
3/6/2017 22:53:40,۳۰ تا ۳۹,مرد,خراسان رضوی,خراسان رضوی,هفت تا پانزده سال,دیپلم,"Network (CCNA, MCSE, MCITP, ...), Linux (LPIC, ...)",بیشتر از چهارده ساعت,هفت تا چهارده ساعت,سه تا شش,"Java, C, Perl, Javascript, Bash, Rust",Ruby,"MongoDB, Redis, Other NoSQLs (couch, raven, ...)",OS X,Linux CentOS,Android,سابلایم,تیره,گیت,"سورس کنترل, کانتینرها, بیلد سیستم ها, تست های خودکار, کلاود",تب,"چای, دمنوش‌های متنوع, آب","تی شرت, روشن",,حداقل یک روز در میان دوش می گیرم,"کلاسیک, سنتی, پاپ ایرانی",ازدواج کرده ام,3,"توسعه دهنده فول استک وب, توسعه دهنده بک اند, توسعه دهنده فرانت اند, مدیر سیستم, مدیر دیتابیس, شبکه, امنیت, طراح, تحلیلگر, مدیر شرکت / پروژه / ...",استارتاپ,3,دو تا سه و نیم میلیون,"ناهار رایگان, قهوه،‌ چای و ... رایگان, خوراکی و اسنک‌های رایگان داخل شرکت, لپ تاپ",تمام وقت خصوصی,اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم,ساعتی کار نمی کنم,3,
3/6/2017 22:55:13,۲۳ تا ۲۹,مرد,تهران,تهران,یک تا سه سال,در حال تحصیل در فوق لیسانس,"Network (CCNA, MCSE, MCITP, ...), Windows (MCP, ...)",دو تا هفت ساعت,دو تا هفت ساعت,دو یا سه,"Java, C#, Javascript, Bash","Not Programming, Python, R, Go","MS-SQL, MySQL/MariaDB, Oracle, MongoDB, Redis",Linux Ubuntu,Linux Ubuntu,Android,"ادیتورهای متن ساده (نوت پد پلاس پلاس، جی ادیت), محصولات جت برین, vs code",تیره,گیت,"سورس کنترل, بیلد سیستم ها, تست های خودکار",تب,"قهوه, آب","تی شرت, جین, اسپورت",,در رابطه نیستم ولی دوست داشتم بودم,"پاپ خارجی, کانتری, الکترونیک دنس",بدون رابطه ولی علاقمند به شروع رابطه,2,"توسعه دهنده بک اند, توسعه دهنده موبایل, مستند سازی, تست کننده","شرکت های تولید نرم افزار, استارتاپ",30,یک تا دو میلیون,"کارت هدیه و کارت خرید, برگزاری مراسم و تولدها در داخل شرکت, بیمه, بیمه تکمیلی",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,زیر ده هزار,4,به نظرم نظر سنجی نیاز به به‌روزرسانی داره بد نیست یه مجموعه سوالاتی دیگری رو به کمک همفکری اضافه بشه و حتی بعضی از گزینه ها کم و زیاد بشه 
3/6/2017 22:57:18,۳۰ تا ۳۹,مرد,گیلان,تهران,هفت تا پانزده سال,لیسانس,,دو تا هفت ساعت,کمتر از دو ساعت,یک,"Python, Go",Scala,"Postgresql, sqlite, Redis","OS X, Linux Ubuntu",Linux Ubuntu,Android,vscode,تیره,گیت,"سورس کنترل, کانتینرها, بیلد سیستم ها, تست های خودکار, بیگ دیتا",تب,"چای, قهوه, دمنوش‌های متنوع","تی شرت, پیرهن مردونه",,سیاست برایم مهم است,,ازدواج کرده ام,2,"توسعه دهنده بک اند, مدیر شرکت / پروژه / ...",شرکت های تولید نرم افزار,180,ده تا سیزده,"قهوه،‌ چای و ... رایگان, خوراکی و اسنک‌های رایگان داخل شرکت, آموزش خارج از شرکت, سفر، اردو، برنامه های تفریحی خارج شرکت به خرج شرکت, برگزاری مراسم و تولدها در داخل شرکت, بیمه, بیمه تکمیلی",تمام وقت خصوصی,اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم,ساعتی کار نمی کنم,5,
3/6/2017 22:59:59,۲۳ تا ۲۹,مرد,تهران,تهران,سه تا هفت سال,در حال تحصیل در فوق لیسانس,,کمتر از دو ساعت,کمتر از دو ساعت,هیچ,"Java, Python, Javascript, Swift","Ruby, Go","Postgresql, MongoDB, Redis","OS X, Linux Ubuntu","Linux RedHat, Linux Ubuntu",iOS,"سابلایم, اتم, ادیتورهای متن ساده (نوت پد پلاس پلاس، جی ادیت)",تیره,گیت,"سورس کنترل, بیلد سیستم ها",اسپیس,"چای, دمنوش‌های متنوع, آب","تی شرت, جین, پیرهن مردونه, رنگی رنگی, تیره, روشن, رسمی, ساعت می بندم, اسپورت, متفاوت از اکثریت",,"بیشتر از سه بار در هفته ورزش می کنم, حداقل یک روز در میان دوش می گیرم","سنتی, راک, رپ, بلوز, کانتری",با پارتنر دائم,3,"توسعه دهنده فول استک وب, توسعه دهنده بک اند, توسعه دهنده موبایل, توسعه دهنده فرانت اند, مدیر شرکت / پروژه / ...","شرکت های تولید نرم افزار, شرکت های پشتیبانی و دیگر خدمات نرم افزار, استارتاپ",9,سه و نیم تا پنج میلیون,"باشگاه ورزشی داخل شرکت, ناهار رایگان, قهوه،‌ چای و ... رایگان, کارت هدیه و کارت خرید, بیمه",تمام وقت خصوصی,اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم,بین بیست و پنج تا پنجاه,5,
3/6/2017 23:00:32,۲۳ تا ۲۹,مرد,تهران,تهران,هفت تا پانزده سال,دیپلم,,دو تا هفت ساعت,کمتر از دو ساعت,هیچ,"PHP, Javascript, SQL",Swift,"MySQL/MariaDB, Redis","OS X, Linux Ubuntu",Linux CentOS,iOS,محصولات جت برین,تیره,گیت,"سورس کنترل, تست های خودکار",تفاوتی ندارد,"چای, قهوه, نوشابه, انواع ماء الشعیر","پیرهن مردونه, تیره, روشن, ساعت می بندم",تتو,"در رابطه نیستم ولی دوست داشتم بودم, حداقل یک روز در میان دوش می گیرم","کلاسیک, سنتی, پاپ ایرانی, پاپ خارجی, رپ, easy listening, دامبول",بدون رابطه ولی علاقمند به شروع رابطه,1,"توسعه دهنده فول استک وب, توسعه دهنده بک اند, توسعه دهنده فرانت اند, مدیر شرکت / پروژه / ...","شرکت های تولید نرم افزار, استارتاپ",6,دو تا سه و نیم میلیون,"پاداش بر اساس نتایج, آموزش خارج از شرکت",پروژه ای با شرکت‌ها,دورکاری کامل,بین ده تا بیست و پنج,5,
3/6/2017 23:00:54,۲۳ تا ۲۹,مرد,فارس,فارس,یک تا سه سال,در حال تحصیل در دوره لیسانس,,بیشتر از چهارده ساعت,هفت تا چهارده ساعت,هیچ,"Java, C#, PHP, Javascript, SQL","C++, Python, Assembly, Go","MS-SQL, MySQL/MariaDB","Windows 10, Linux Ubuntu",Windows Server 2016,Windows Phone,"ویژوال استودیو, محصولات جت برین, محصولات اکلیپس",تیره,"گیت, تی اف اس",سورس کنترل,تب,"قهوه, آب","تی شرت, اسپورت",,,"پاپ خارجی, رپ",بدون رابطه و بدون علاقه به شروع,2,"توسعه دهنده فول استک وب, توسعه دهنده موبایل, توسعه دهنده دسکتاپ, شبکه",شرکت های تولید نرم افزار,10,یک تا دو میلیون,"پاداش بر اساس نتایج, بیمه",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,,5,
3/6/2017 23:02:48,۲۳ تا ۲۹,مرد,تهران,تهران,یک تا سه سال,لیسانس,"Linux (LPIC, ...), Windows (MCP, ...), Programming Languages (Java, MCP, ..)",بیشتر از چهارده ساعت,کمتر از دو ساعت,یک,"PHP, Javascript, SQL",Ruby,"MS-SQL, Postgresql, sqlite",Linux Ubuntu,"Linux RedHat, Linux CentOS, Linux Ubuntu",Android,"براکت, محصولات جت برین",تیره,گیت,سورس کنترل,اسپیس,"چای, قهوه, دمنوش‌های متنوع, انرژی زا, نوشابه, انواع ماء الشعیر","تی شرت, جین, تیره, گجت پوشیدنی دارم (ساعت هوشمند، ...), اسپورت, متفاوت از اکثریت",,حداقل یک روز در میان دوش می گیرم,"متال, راک",ازدواج کرده ام,,"توسعه دهنده فول استک وب, توسعه دهنده بک اند, توسعه دهنده فرانت اند, طراح",استارتاپ,20,زیر یک میلیون,,پروژه ای با شرکت‌ها,دورکاری کامل,,4,"وضعیت کار IT داخل ایران مثل بیگاری میمونه.
دوست من یکسال هستش رفته مالزی ماهی ۱۵میلیون حقوق صابت داره جدیدا هم رفته یک شرکت ریگه توی هلند تو خارج کشور شرکت ها برای داشتن کارمند خوب با هم رقابت میکنن اینجا ایران کثافت خراب شده همه جا میخوان حقوق پایه بدن انگار رفته گر می خوان استخدام کنن."
3/6/2017 23:15:18,۲۳ تا ۲۹,مرد,چهارمحال و بختیاری,تهران,یک تا سه سال,در حال تحصیل در فوق لیسانس,"Programming Languages (Java, MCP, ..)",کمتر از دو ساعت,کمتر از دو ساعت,دو یا سه,"Python, Javascript, Bash","Scala, Go",Postgresql,Linux Ubuntu,Linux Ubuntu,Android,"محصولات جت برین, ویم",تیره,گیت,سورس کنترل,تب,چای,پیرهن مردونه,,سیاست برایم مهم است,"سنتی, پاپ ایرانی",بدون رابطه و بدون علاقه به شروع,2,توسعه دهنده فول استک وب,استارتاپ,7,یک تا دو میلیون,"ناهار رایگان, قهوه،‌ چای و ... رایگان, برگزاری مراسم و تولدها در داخل شرکت",تمام وقت خصوصی,اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم,ساعتی کار نمی کنم,5,
