"Timestamp","در کدام محدوده سنی هستید؟","جنسیت","خودتون رو متعلق به کدوم استان می دونین؟ بچه کجایین؟ (:","استان محل کار","چند سال تجربه کار تمام وقت دارید؟","آخرین وضعیت تحصیلی","چه مدارک بین المللی ای اخذ کرده اید","چند ساعت در هفته برای یادگیری تکنولوژی‌ها، زبان ها و ... جدید وقت می گذارید؟","بیشترین یادگیری شما در کجا اتفاق می افتد؟","چند ساعت در هفته برای پروژه‌های غیرکاری ولی مرتبط با حوزه کاری خود (برنامه نویسی، وبلاگنویسی، گزارش باگ، ...) وقت می گذارید؟","در سه ماه گذشته چند کتاب [غیردرسی] خوانده اید؟","زبان‌های برنامه‌نویسی مورد استفاده شما در پروژه‌ها کدامند؟","به جز زبان‌های فعلی‌تان، دوست دارید با چه زبان برنامه ای نویسی کار کنید؟","دیتابیس‌های مورد استفاده","سیستم عامل رومیزی شما کدام است؟","سیستم عامل سرور مورد علاقه شما","و وقتی صحبت از تلفن همراه باشد...","در چه محیطی برنامه نویسی می‌کنید","تم آی دی ای","از چه سورس کنترلی استفاده می کنید؟","از کدام تکنولوزی ها استفاده می کنید","کدام سرویس برای شما بسیار پر استفاده است؟","تب یا اسپیس؟","نوشیدنی‌های مورد علاقه شما چیست؟","تیپ ","تغییر در بدن؟","کدام‌ها در مورد شما صدق می‌کند","سبک موسیقی","وضعیت رابطه","به طور معمول چند دیوایس دیجیتال با خودتان حمل می کنید (شامل لپ تاپ، پخش کننده موزیک، موبایل،‌ کتابخوان، ...)","حوزه کاری شما چیست","نوع شرکت شما کدام است؟","تعداد مجموع کارمندان شرکت (در صورتی که انفرادی کار می کنید: 1)","متوسط درآمد ماهیانه شما (به تومان)","محل کار چه خدماتی بیشتر از حقوق ارائه می دهد","چگونه کار می کنید؟","شیوه کار شما کدام است؟","در صورتی که ساعتی کار می کنید، حقوق ساعتی شما چقدر است؟ (تومان)","چقدر از کاری که انتخاب کرده اید راضی هستید؟","آیا برنامه نویسی یا مدیریت سیستم‌ها شغل اصلی شماست؟"
"2018/03/06 5:25:00 PM GMT+4:30","۲۳ تا ۲۹","مرد","تهران","تهران","سه تا هفت سال","فوق لیسانس","","دو تا هفت ساعت","سایت‌های آموزش آنلاین خارجی;یادگیری از طریق انجام پروژه","دو تا هفت ساعت","سه تا شش","Java;Javascript;SQL","Python;Swift;Groovy;Scala;Bash;Kotlin","MS-SQL;Postgresql","Linux Ubuntu","Linux Ubuntu","Android","محصولات جت برین","تیره","گیت","سورس کنترل","استک اورفلو;ابزارهای مدیریت پروژه اتلسین","تب","چای سیاه;قهوه;دمنوش‌های متنوع;آب","تی شرت;جین;روشن;گجت پوشیدنی دارم (ساعت هوشمند، ...);ساعت می بندم;اسپورت","","اهل فیلم و سریال هستم;خودم رو گیک می دونم","پاپ ایرانی;راک;رپ;الکترونیک دنس","ازدواج کرده ام","1","توسعه دهنده فول استک وب;توسعه دهنده بک اند;توسعه دهنده فرانت اند","شرکت های تولید نرم افزار","30","یک تا دو میلیون","قهوه،‌ چای و ... رایگان;بیمه;بیمه تکمیلی","نیمه وقت خصوصی (شامل استارتاپ‌های جا افتاده)","تمام وقت‌های کاری را در دفتر هستم","بین ده تا بیست و پنج","5","بله"
"2018/03/06 5:25:21 PM GMT+4:30","زیر ۱۸ سال","مرد","اصفهان","اصفهان","یک تا سه سال","در حال تحصیل در دبیرستان یا پایینتر","Network (CCNA, MCSE, MCITP, ...);Linux (LPIC, ...)","بیشتر از چهارده ساعت","سایت‌های آموزش آنلاین خارجی;ویدئوهای مستقل آموزشی;یادگیری از طریق انجام پروژه","دو تا هفت ساعت","بیشتر از شش","C++;Javascript","Python","MongoDB","Linux Arch","Linux CentOS","iOS","ویژوال استودیو;سابلایم","تیره","گیت","سورس کنترل;ویکی‌های مربوط به پروژه;کلاود","استک اورفلو","تب","قهوه","تی شرت;جین;پیرهن مردونه","","سیاست برایم مهم است;اهل فیلم و سریال هستم;خودم رو گیک می دونم","کلاسیک;متال;رپ","رابطه های نا پایدار","3","توسعه دهنده بک اند;مدیر سیستم","","1","زیر یک میلیون","","پروژه ای مستقل","دورکاری کامل","","4","بله"
"2018/03/06 5:25:24 PM GMT+4:30","۲۳ تا ۲۹","مرد","تهران","تهران","سه تا هفت سال","دیپلم","Network (CCNA, MCSE, MCITP, ...);Linux (LPIC, ...);DB (Oracle, ..)","هفت تا چهارده ساعت","سایت‌های آموزش آنلاین خارجی;سایت‌های آموزش آنلاین داخلی;ویدئوهای مستقل آموزشی;یادگیری از طریق انجام پروژه","دو تا هفت ساعت","بیشتر از شش","Python;PHP;Javascript","Java;C;SQL;Kotlin","MySQL/MariaDB","Windows 8;Linux Fedora","Linux Ubuntu","Android","ادیتورهای متن ساده (نوت پد پلاس پلاس، جی ادیت);براکت;محصولات جت برین;نت بینز","تیره","گیت","سورس کنترل;تست های خودکار;ویکی‌های مربوط به پروژه","استک اورفلو;اسلک","اسپیس","چای سبز;قهوه","تی شرت;تیره","","بیشتر از یک نخ در روز سیگار می کشم;بیشتر از سه بار در هفته ورزش می کنم;سیاست برایم مهم است;حداقل یک روز در میان دوش می گیرم;اهل فیلم و سریال هستم","کلاسیک;پاپ خارجی;رپ;بلوز","بدون رابطه و بدون علاقه به شروع","1","توسعه دهنده فرانت اند;طراح;تحلیلگر","شرکت های ارائه دهنده سرویس های مختلف;استارتاپ","6","سه و نیم تا پنج میلیون","ناهار رایگان;قهوه،‌ چای و ... رایگان","تمام وقت خصوصی (شامل استارتاپ‌های جا افتاده)","اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم","ساعتی کار نمی کنم","1","بله"
"2018/03/06 5:25:30 PM GMT+4:30","۱۸ تا ۲۲","مرد","البرز","البرز","سه تا هفت سال","در حال تحصیل در دوره لیسانس","هیچ","صفر","سایت‌های آموزش آنلاین خارجی;یادگیری از طریق انجام پروژه","دو تا هفت ساعت","سه تا شش","Java;C;C++;C#;Python;PHP;Javascript;Assembly;Objective C;Swift;Matlab;SQL;Bash","","MySQL/MariaDB;sqlite;MongoDB;Other NoSQLs (couch, raven, ...)","Windows 10;OS X;Linux Ubuntu","Linux CentOS;Linux Ubuntu","Android","ویژوال استودیو;ادیتورهای متن ساده (نوت پد پلاس پلاس، جی ادیت);براکت;محصولات جت برین","گاهی روشن گاهی تیره","گیت","سورس کنترل;کانتینرها;بیلد سیستم ها;تست های خودکار;ویکی‌های مربوط به پروژه;بیگ دیتا;کلاود;هوش مصنوعی","استک اورفلو;تلگرام برای کنترل پروژه","تفاوتی ندارد","دمنوش‌های متنوع;آب","تی شرت;تیره","","به شکل مرتب بازی‌های کامپیوتری می‌کنم;اهل فیلم و سریال هستم;خودم رو گیک می دونم","کلاسیک","با کامپیوتر/اینترنت/برنامه نویسی/سیستم عامل/... در رابطه ام","2","توسعه دهنده فول استک وب;توسعه دهنده بک اند;توسعه دهنده موبایل;توسعه دهنده دسکتاپ;توسعه دهنده فرانت اند;امنیت;بازی سازی;تحلیلگر;مستند سازی;تست کننده","استارتاپ;تولید مستقل محصول و فروش در سایت ها و پلتفرمها","1","یک تا دو میلیون","","پروژه ای مستقل","دورکاری کامل","ساعتی کار نمی کنم","3","بله"
"2018/03/06 5:25:36 PM GMT+4:30","۱۸ تا ۲۲","مرد","خوزستان","اصفهان","زیر یکسال","در حال تحصیل در دوره دکترا","Programming Languages (Java, MCP, ..)","هفت تا چهارده ساعت","یادگیری از طریق انجام پروژه","دو تا هفت ساعت","دو یا سه","Java;Python;PHP;Javascript","Ruby;Scala;Go","MySQL/MariaDB;sqlite;MongoDB","Windows 10;Linux Ubuntu;Linux (other)","Linux Ubuntu","Android","اتم","","گیت","","استک اورفلو","تب","چای سبز;دمنوش‌های متنوع;آب","رسمی;ساعت می بندم","","به شکل مرتب نماز می‌خونم;بیشتر از سه بار در هفته ورزش می کنم;سیاست برایم مهم است;در رابطه نیستم ولی دوست داشتم بودم;طبیعت را دوست دارم","سنتی","بدون رابطه ولی علاقمند به شروع رابطه","2","توسعه دهنده بک اند;توسعه دهنده فرانت اند;شبکه","شرکت های تولید نرم افزار","4","یک تا دو میلیون","","نیمه وقت خصوصی (شامل استارتاپ‌های جا افتاده)","تمام وقت‌های کاری را در دفتر هستم","","4","خیر"
"2018/03/06 5:26:11 PM GMT+4:30","۱۸ تا ۲۲","مرد","تهران","تهران","یک تا سه سال","در حال تحصیل در دوره لیسانس","","دو تا هفت ساعت","سایت‌های آموزش آنلاین خارجی;سایت‌های آموزش آنلاین داخلی","کمتر از دو ساعت","دو یا سه","Python;Javascript","Swift;Bash","Postgresql","Linux Ubuntu","Linux CentOS","Android","براکت;نت بینز","تیره","استفاده نمی کنم","تست های خودکار;ویکی‌های مربوط به پروژه","استک اورفلو;تلگرام برای کنترل پروژه","تب","قهوه;دمنوش‌های متنوع","پیرهن مردونه","","در رابطه نیستم ولی دوست داشتم بودم;حداقل یک روز در میان دوش می گیرم;اهل فیلم و سریال هستم;خودم رو گیک می دونم","پاپ ایرانی;رپ","با کامپیوتر/اینترنت/برنامه نویسی/سیستم عامل/... در رابطه ام","2","توسعه دهنده فول استک وب","استارتاپ","3","دو تا سه و نیم میلیون","قهوه،‌ چای و ... رایگان;خوراکی و اسنک‌های رایگان داخل شرکت","استارتاپ دیگران","اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم","بین بیست و پنج تا پنجاه","3","بله"
"2018/03/06 5:26:16 PM GMT+4:30","۱۸ تا ۲۲","مرد","تهران","تهران","سه تا هفت سال","دیپلم","","کمتر از دو ساعت","سایت‌های آموزش آنلاین خارجی;سایت‌های آموزش آنلاین داخلی;یادگیری از طریق انجام پروژه","کمتر از دو ساعت","یک","Bash","Python;PHP;Go","MySQL/MariaDB;Postgresql;Redis","OS X;Linux Ubuntu","Linux CentOS;Linux Ubuntu","iOS","اتم","تیره","گیت","سورس کنترل;کانتینرها","ترلو;ابزارهای مدیریت پروژه اتلسین","تب","چای سبز;قهوه;نوشیدنی‌های الکلی","پیرهن مردونه;روشن","","سیاست برایم مهم است;در رابطه نیستم ولی دوست داشتم بودم;اهل فیلم و سریال هستم","سنتی;پاپ ایرانی;متال;رپ","بدون رابطه ولی علاقمند به شروع رابطه","4","مدیر سیستم;مدیر دیتابیس;شبکه","شرکت های تولید نرم افزار","150","هفت تا ده میلیون","ناهار رایگان;قهوه،‌ چای و ... رایگان;سفر، اردو، برنامه های تفریحی خارج شرکت به خرج شرکت;لپ تاپ;تلفن همراه;هزینه های تلفن همراه;بیمه;بیمه تکمیلی","تمام وقت خصوصی (شامل استارتاپ‌های جا افتاده)","تمام وقت‌های کاری را در دفتر هستم","ساعتی کار نمی کنم","5","بله"
"2018/03/06 5:26:25 PM GMT+4:30","زیر ۱۸ سال","مرد","تهران","تهران","زیر یکسال","دیپلم","","بیشتر از چهارده ساعت","سایت‌های آموزش آنلاین خارجی;کتاب / خودآموزهای متنی;ویدئوهای مستقل آموزشی","بیشتر از چهارده ساعت","دو یا سه","Java;C++;C#;PHP;Javascript;Assembly;SQL","C;Python;Ruby;Objective C;Swift;Matlab;Groovy;Go","MySQL/MariaDB;sqlite","Windows 8;Windows 10;Linux Ubuntu","Linux ( Other )","Android","ویژوال استودیو;نت بینز;محصولات اکلیپس","تیره","گیت","تست های خودکار","استک اورفلو;یوتیوب","اسپیس","قهوه","پیرهن مردونه","تقویت کننده حواس","به شکل مرتب نماز می‌خونم;بیشتر از سه بار در هفته ورزش می کنم;حداقل یک روز در میان دوش می گیرم;اهل فیلم و سریال هستم","پاپ ایرانی","با کامپیوتر/اینترنت/برنامه نویسی/سیستم عامل/... در رابطه ام","2","توسعه دهنده فول استک وب;توسعه دهنده بک اند;توسعه دهنده موبایل;توسعه دهنده دسکتاپ;توسعه دهنده فرانت اند;مدیر سیستم","استارتاپ","1","زیر یک میلیون","","نیمه وقت خصوصی (شامل استارتاپ‌های جا افتاده)","شخصی کار می کنم و در محل خودم","زیر ده هزار","1","بله"
"2018/03/06 5:26:28 PM GMT+4:30","۲۳ تا ۲۹","مرد","خراسان رضوی","خراسان رضوی","زیر یکسال","در حال تحصیل در فوق لیسانس","","دو تا هفت ساعت","سایت‌های آموزش آنلاین خارجی;کتاب / خودآموزهای متنی;یادگیری از طریق انجام پروژه","کمتر از دو ساعت","هیچ","Java;Python;SQL;Bash","Swift","MySQL/MariaDB;Postgresql","Windows 10;Linux Arch","Linux CentOS;Linux Debian","Android","محصولات جت برین","گاهی روشن گاهی تیره","گیت","سورس کنترل;کانتینرها;کلاود","استک اورفلو;تودولیست‌ها","تب","قهوه;دمنوش‌های متنوع;آب","پیرهن مردونه;گجت پوشیدنی دارم (ساعت هوشمند، ...)","","سیاست برایم مهم است;در رابطه نیستم ولی دوست داشتم بودم;حداقل یک روز در میان دوش می گیرم;به شکل مرتب بازی‌های کامپیوتری می‌کنم;اهل فیلم و سریال هستم;طبیعت را دوست دارم","پاپ ایرانی;پاپ خارجی","بدون رابطه ولی علاقمند به شروع رابطه","3","توسعه دهنده موبایل;مدیر سیستم;شبکه;امنیت","بخش آی تی شرکت های غیر نرم افزاری (مانند مخابراتی‌ها، بانک ها، ...)","60","دو تا سه و نیم میلیون","ناهار رایگان;قهوه،‌ چای و ... رایگان","تمام وقت دولتی با استخدام غیردائم","تمام وقت‌های کاری را در دفتر هستم","بین ده تا بیست و پنج","3","خیر"
"2018/03/06 5:27:02 PM GMT+4:30","۲۳ تا ۲۹","مرد","تهران","تهران","سه تا هفت سال","لیسانس","","دو تا هفت ساعت","سایت‌های آموزش آنلاین خارجی;سایت‌های آموزش آنلاین داخلی;ویدئوهای مستقل آموزشی;یادگیری از طریق انجام پروژه","کمتر از دو ساعت","هیچ","PHP;Javascript;Ruby;SQL;Bash","Java;Python","MySQL/MariaDB;MongoDB","Linux Ubuntu","Linux Debian","Android","اتم;محصولات جت برین","تیره","گیت","سورس کنترل;کانتینرها;ویکی‌های مربوط به پروژه","استک اورفلو;تلگرام برای کنترل پروژه","تب","قهوه;نوشیدنی‌های الکلی","تی شرت;جین;رنگی رنگی;روشن;ساعت می بندم","","بیشتر از یک نخ در روز سیگار می کشم;سیاست برایم مهم است;در رابطه نیستم ولی دوست داشتم بودم;مینیمالیست هستم و سعی می‌کنم زندگی را پیچیده نکنم;به شکل مرتب بازی‌های کامپیوتری می‌کنم;اهل فیلم و سریال هستم;طبیعت را دوست دارم","راک;رپ;easy listening;بلوز;الکترونیک دنس","با کامپیوتر/اینترنت/برنامه نویسی/سیستم عامل/... در رابطه ام","3","توسعه دهنده فول استک وب;توسعه دهنده بک اند;توسعه دهنده موبایل;توسعه دهنده فرانت اند;مدیر سیستم;مدیر دیتابیس;طراح;تحلیلگر","شرکت های ارائه دهنده سرویس های مختلف;استارتاپ","1","دو تا سه و نیم میلیون","قهوه،‌ چای و ... رایگان;برگزاری مراسم و تولدها در داخل شرکت","استارتاپ خودم","شخصی کار می کنم و در محل خودم","ساعتی کار نمی کنم","5","بله"
"2018/03/06 5:27:14 PM GMT+4:30","۲۳ تا ۲۹","مرد","تهران","ریموت خارج از کشور","هفت تا پانزده سال","لیسانس","","دو تا هفت ساعت","سایت‌های آموزش آنلاین خارجی;ویدئوهای مستقل آموزشی;یادگیری از طریق انجام پروژه","دو تا هفت ساعت","هیچ","Javascript","Go","Postgresql;MongoDB;Redis","OS X","Linux CentOS","Android","ویژوال استودیو;سابلایم","تیره","گیت","سورس کنترل;کانتینرها","استک اورفلو;اسلک","تب","چای سیاه;قهوه;انواع ماء الشعیر;نوشیدنی‌های الکلی;آب","تی شرت;ساعت می بندم","","سیاست برایم مهم است;مینیمالیست هستم و سعی می‌کنم زندگی را پیچیده نکنم;به شکل مرتب بازی‌های کامپیوتری می‌کنم;اهل فیلم و سریال هستم","سنتی;پاپ ایرانی;پاپ خارجی;راک;رپ;دامبول;بلوز","ازدواج کرده ام","4","توسعه دهنده فول استک وب;توسعه دهنده بک اند;توسعه دهنده فرانت اند","شرکت های ارائه دهنده سرویس های مختلف;شرکت های خارجی","15","بالای سیزده","","شرکت های خارجی","دورکاری کامل","","4","بله"
"2018/03/06 5:27:23 PM GMT+4:30","۲۳ تا ۲۹","مرد","تهران","تهران","یک تا سه سال","در حال تحصیل در دوره دکترا","","دو تا هفت ساعت","سایت‌های آموزش آنلاین خارجی;کتاب / خودآموزهای متنی;ویدئوهای مستقل آموزشی;یادگیری از طریق انجام پروژه","صفر","هیچ","Java;Javascript;Swift","SQL;Scala;Bash","","OS X;Linux Arch","","iOS","ایکس کد;محصولات جت برین","تیره","گیت","سورس کنترل;کانتینرها;بیلد سیستم ها","استک اورفلو;اسلک;ابزارهای مدیریت پروژه اتلسین","تب","چای سیاه;قهوه;انواع ماء الشعیر;آب","تی شرت;جین;تیره","","به شکل مرتب نماز می‌خونم;سیاست برایم مهم است;به شکل مرتب بازی‌های کامپیوتری می‌کنم;اهل فیلم و سریال هستم;طبیعت را دوست دارم;خودم رو گیک می دونم","پاپ ایرانی;پاپ خارجی;متال;راک;رپ;easy listening;دامبول;بلوز;کانتری;الکترونیک دنس","با پارتنر دائم","2","توسعه دهنده موبایل","استارتاپ","9","دو تا سه و نیم میلیون","قهوه،‌ چای و ... رایگان;برگزاری مراسم و تولدها در داخل شرکت;بیمه","تمام وقت خصوصی (شامل استارتاپ‌های جا افتاده)","تمام وقت‌های کاری را در دفتر هستم","ساعتی کار نمی کنم","4","بله"
"2018/03/06 5:27:25 PM GMT+4:30","۳۰ تا ۳۹","مرد","کردستان","تهران","سه تا هفت سال","لیسانس","","کمتر از دو ساعت","سایت‌های آموزش آنلاین خارجی;یادگیری از طریق انجام پروژه","صفر","دو یا سه","PHP;SQL","Python;Javascript","MySQL/MariaDB","Windows 8;Linux Ubuntu","Linux CentOS","iOS","محصولات جت برین","تیره","گیت","سورس کنترل","استک اورفلو","تب","چای سیاه","تی شرت;جین;اسپورت","تقویت کننده حواس","در رابطه نیستم ولی دوست داشتم بودم;حداقل یک روز در میان دوش می گیرم;اهل فیلم و سریال هستم;طبیعت را دوست دارم","کلاسیک;سنتی","بدون رابطه ولی علاقمند به شروع رابطه","2","توسعه دهنده بک اند","استارتاپ","9","دو تا سه و نیم میلیون","قهوه،‌ چای و ... رایگان;لپ تاپ","تمام وقت خصوصی (شامل استارتاپ‌های جا افتاده)","تمام وقت‌های کاری را در دفتر هستم","","5","بله"
"2018/03/06 5:27:37 PM GMT+4:30","۱۸ تا ۲۲","مرد","فارس","تهران","سه تا هفت سال","در حال تحصیل در دوره لیسانس","","هفت تا چهارده ساعت","سایت‌های آموزش آنلاین خارجی;کتاب / خودآموزهای متنی;ویدئوهای مستقل آموزشی;یادگیری از طریق انجام پروژه","هفت تا چهارده ساعت","سه تا شش","Python;Javascript","Go","MySQL/MariaDB;Postgresql;Other NoSQLs (couch, raven, ...)","OS X;Linux Ubuntu","Linux CentOS;Linux Ubuntu","Android;iOS","محصولات جت برین","تیره","گیت","سورس کنترل;کانتینرها;بیلد سیستم ها;تست های خودکار;بیگ دیتا;کلاود;هوش مصنوعی","استک اورفلو;اسلک;ابزارهای مدیریت پروژه اتلسین","اسپیس","قهوه;انرژی زا;انواع ماء الشعیر;نوشیدنی‌های الکلی","تی شرت;جین;پیرهن مردونه;رنگی رنگی;ساعت می بندم","","بیشتر از یک نخ در روز سیگار می کشم;در رابطه نیستم ولی دوست داشتم بودم;حداقل یک روز در میان دوش می گیرم;مینیمالیست هستم و سعی می‌کنم زندگی را پیچیده نکنم;اهل فیلم و سریال هستم;طبیعت را دوست دارم","کلاسیک;سنتی;پاپ خارجی;راک;بلوز;کانتری;الکترونیک دنس","بدون رابطه ولی علاقمند به شروع رابطه","4","توسعه دهنده فول استک وب;توسعه دهنده بک اند;مدیر سیستم","استارتاپ","10","یک تا دو میلیون","","استارتاپ خودم","اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم","بین بیست و پنج تا پنجاه","3","بله"
"2018/03/06 5:27:54 PM GMT+4:30","۱۸ تا ۲۲","مرد","تهران","تهران","سه تا هفت سال","در حال تحصیل کاردانی","","هفت تا چهارده ساعت","ویدئوهای مستقل آموزشی;یادگیری از طریق انجام پروژه","دو تا هفت ساعت","هیچ","Java;PHP;Javascript","C#;Kotlin","MySQL/MariaDB;MongoDB","Linux Deepin","Linux CentOS","Android;iOS","محصولات جت برین;vscode","تیره","گیت","سورس کنترل;کانتینرها;بیلد سیستم ها","استک اورفلو;ترلو","تفاوتی ندارد","چای سیاه;قهوه;نوشابه;انواع ماء الشعیر;آب","تی شرت;جین","","سیاست برایم مهم است;در رابطه نیستم ولی دوست داشتم بودم;به شکل مرتب بازی‌های کامپیوتری می‌کنم;اهل فیلم و سریال هستم;طبیعت را دوست دارم;خودم رو گیک می دونم;به شکل غیر مرتب نماز میخوانم D:","پاپ خارجی;رپ","با کامپیوتر/اینترنت/برنامه نویسی/سیستم عامل/... در رابطه ام","2","توسعه دهنده فول استک وب;توسعه دهنده بک اند;توسعه دهنده موبایل;توسعه دهنده فرانت اند","استارتاپ;تولید مستقل محصول و فروش در سایت ها و پلتفرمها","4","یک تا دو میلیون","","استارتاپ خودم و پروژه های مستقل","شخصی کار می کنم و در محل خودم","ساعتی کار نمی کنم","4","بله"
"2018/03/06 5:28:04 PM GMT+4:30","۲۳ تا ۲۹","مرد","هرمزگان","فارس","یک تا سه سال","در حال تحصیل در فوق لیسانس","","هفت تا چهارده ساعت","سایت‌های آموزش آنلاین خارجی;ویدئوهای مستقل آموزشی;یادگیری از طریق انجام پروژه","کمتر از دو ساعت","یک","Java;Python;PHP;Swift;SQL","","MySQL/MariaDB;sqlite","OS X;Linux Ubuntu","Linux Ubuntu","Android","اتم;ایکس کد;محصولات جت برین;محصولات اکلیپس","تیره","گیت","","استک اورفلو;ترلو;تلگرام برای کنترل پروژه","تب","قهوه;نوشابه;انواع ماء الشعیر","تی شرت;جین;گجت پوشیدنی دارم (ساعت هوشمند، ...)","","سیاست برایم مهم است;در رابطه نیستم ولی دوست داشتم بودم;حداقل یک روز در میان دوش می گیرم;مینیمالیست هستم و سعی می‌کنم زندگی را پیچیده نکنم;به شکل مرتب بازی‌های کامپیوتری می‌کنم;اهل فیلم و سریال هستم;طبیعت را دوست دارم;خودم رو گیک می دونم","سنتی;پاپ ایرانی;پاپ خارجی;راک;الکترونیک دنس","بدون رابطه ولی علاقمند به شروع رابطه","3","توسعه دهنده بک اند;توسعه دهنده موبایل","شرکت های ارائه دهنده سرویس های مختلف","100","دو تا سه و نیم میلیون","قهوه،‌ چای و ... رایگان;لپ تاپ;بیمه","تمام وقت خصوصی (شامل استارتاپ‌های جا افتاده)","تمام وقت‌های کاری را در دفتر هستم","ساعتی کار نمی کنم","5","بله"
"2018/03/06 5:28:21 PM GMT+4:30","۳۰ تا ۳۹","مرد","خوزستان","کردستان","سه تا هفت سال","دیپلم","Linux (LPIC, ...)","هفت تا چهارده ساعت","سایت‌های آموزش آنلاین داخلی;کتاب / خودآموزهای متنی;ویدئوهای مستقل آموزشی","کمتر از دو ساعت","یک","Python","C++;PHP","Oracle","Windows 7;Linux Ubuntu","Windows Server 2016;Linux Ubuntu","Android;iOS","ویژوال استودیو","گاهی روشن گاهی تیره","استفاده نمی کنم","کلاود","استک اورفلو;تلگرام برای کنترل پروژه","اسپیس","چای سیاه;نوشیدنی‌های الکلی","تی شرت;هیچی","بی حوصلگی ورزش","بیشتر از سه بار در هفته ورزش می کنم;حداقل یک روز در میان دوش می گیرم;به شکل مرتب بازی‌های کامپیوتری می‌کنم;اهل فیلم و سریال هستم;طبیعت را دوست دارم;خودم رو گیک می دونم","پاپ ایرانی;پاپ خارجی","با کامپیوتر/اینترنت/برنامه نویسی/سیستم عامل/... در رابطه ام","1","شبکه;امنیت","تولید مستقل محصول و فروش در سایت ها و پلتفرمها","1","زیر یک میلیون","هیچی","نیمه وقت خصوصی (شامل استارتاپ‌های جا افتاده)","شخصی کار می کنم و در محل خودم","زیر ده هزار","1","خیر"
"2018/03/06 5:29:32 PM GMT+4:30","۱۸ تا ۲۲","مرد","خراسان جنوبی","سمنان","زیر یکسال","در حال تحصیل در دوره لیسانس","","دو تا هفت ساعت","سایت‌های آموزش آنلاین خارجی;یادگیری از طریق انجام پروژه","کمتر از دو ساعت","دو یا سه","Python;PHP;Javascript;SQL","","MySQL/MariaDB","Windows 10","","Windows Phone","ویژوال استودیو;محصولات جت برین","تیره","استفاده نمی کنم","","استک اورفلو;تلگرام برای کنترل پروژه","تب","چای سیاه","تی شرت","","اهل فیلم و سریال هستم;طبیعت را دوست دارم;به طور مرتب الکل مینوشم","کلاسیک;سنتی;راک;رپ;بلوز","با کامپیوتر/اینترنت/برنامه نویسی/سیستم عامل/... در رابطه ام","2","توسعه دهنده فول استک وب;توسعه دهنده بک اند;توسعه دهنده فرانت اند","تولید مستقل محصول و فروش در سایت ها و پلتفرمها","1","زیر یک میلیون","ناهار رایگان;قهوه،‌ چای و ... رایگان;بیمه","پروژه ای با شرکت‌ها","دورکاری کامل","ساعتی کار نمی کنم","3","بله"
"2018/03/06 5:29:34 PM GMT+4:30","۲۳ تا ۲۹","مرد","تهران","تهران","یک تا سه سال","در حال تحصیل در فوق لیسانس","","کمتر از دو ساعت","سایت‌های آموزش آنلاین خارجی;یادگیری از طریق انجام پروژه;.","دو تا هفت ساعت","یک","Java;Kotlin","Javascript;Swift","sqlite","Windows 10;OS X","","Android","ادیتورهای متن ساده (نوت پد پلاس پلاس، جی ادیت);ایکس کد;Android studio","روشن","گیت","سورس کنترل","استک اورفلو","تفاوتی ندارد","نوشابه;انواع ماء الشعیر;آب;انواع نوشیدنی شیرین","تی شرت;ساعت می بندم;متفاوت از اکثریت","","","کلاسیک;پاپ ایرانی;رپ;دامبول","ازدواج کرده ام","2","توسعه دهنده موبایل","شرکت های تولید نرم افزار;استارتاپ","8","دو تا سه و نیم میلیون","قهوه،‌ چای و ... رایگان;لپ تاپ;بیمه","نیمه وقت خصوصی (شامل استارتاپ‌های جا افتاده)","اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم","","2","بله"
"2018/03/06 5:29:35 PM GMT+4:30","۲۳ تا ۲۹","مرد","تهران","گیلان","یک تا سه سال","در حال تحصیل در فوق لیسانس","","کمتر از دو ساعت","سایت‌های آموزش آنلاین خارجی;یادگیری از طریق انجام پروژه","کمتر از دو ساعت","هیچ","Java;C++;Python","Python;Go","MySQL/MariaDB;sqlite;realm java","Windows 10","","Android;Windows Phone","android studio","روشن","گیت","سورس کنترل;هوش مصنوعی","استک اورفلو","تب","چای سیاه;چای سبز;قهوه;دمنوش‌های متنوع;انواع ماء الشعیر;آب","تی شرت;جین;روشن;ساعت می بندم;اسپورت","","در رابطه نیستم ولی دوست داشتم بودم;حداقل یک روز در میان دوش می گیرم;مینیمالیست هستم و سعی می‌کنم زندگی را پیچیده نکنم;طبیعت را دوست دارم","کلاسیک;سنتی;پاپ ایرانی;راک","بدون رابطه ولی علاقمند به شروع رابطه","3","توسعه دهنده موبایل;مدیر شرکت / پروژه / ...;تست کننده","شرکت های تولید نرم افزار;استارتاپ","5","زیر یک میلیون","قهوه،‌ چای و ... رایگان","استارتاپ خودم","اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم","","3","بله"
